link_type,node_a,node_b,window_start_s,window_end_s
orbiter_earth,orbiter_0,earth,812220,816780
orbiter_earth,orbiter_0,earth,819300,823860
orbiter_earth,orbiter_0,earth,826380,830940
orbiter_earth,orbiter_0,earth,833460,838020
orbiter_earth,orbiter_0,earth,840540,845100
orbiter_earth,orbiter_0,earth,847620,852180
orbiter_earth,orbiter_0,earth,854700,859260
orbiter_earth,orbiter_0,earth,861780,866340
orbiter_earth,orbiter_0,earth,868860,873420
orbiter_earth,orbiter_0,earth,875940,880500
orbiter_earth,orbiter_0,earth,883050,887580
orbiter_earth,orbiter_0,earth,890130,894660
orbiter_earth,orbiter_0,earth,897210,901770
orbiter_earth,orbiter_0,earth,904290,908850
orbiter_earth,orbiter_0,earth,911370,915930
orbiter_earth,orbiter_0,earth,918450,923010
orbiter_earth,orbiter_0,earth,925530,930090
orbiter_earth,orbiter_0,earth,932610,937170
orbiter_earth,orbiter_0,earth,939690,944250
orbiter_earth,orbiter_0,earth,946770,951330
orbiter_earth,orbiter_0,earth,953850,958410
orbiter_earth,orbiter_0,earth,960930,965490
orbiter_earth,orbiter_0,earth,968040,972570
orbiter_earth,orbiter_0,earth,975120,979650
orbiter_earth,orbiter_0,earth,982200,986760
orbiter_earth,orbiter_0,earth,989280,993840
orbiter_earth,orbiter_0,earth,996360,1000920
orbiter_earth,orbiter_0,earth,1003440,1008000
orbiter_earth,orbiter_0,earth,1010520,1015080
orbiter_earth,orbiter_0,earth,1017600,1022160
orbiter_earth,orbiter_0,earth,1024680,1029240
orbiter_earth,orbiter_0,earth,1031760,1036320
orbiter_earth,orbiter_0,earth,1038840,1043400
orbiter_earth,orbiter_0,earth,1045920,1050480
orbiter_earth,orbiter_0,earth,1053030,1057560
orbiter_earth,orbiter_0,earth,1060110,1064640
orbiter_earth,orbiter_0,earth,1067190,1071750
orbiter_earth,orbiter_0,earth,1074270,1078830
orbiter_earth,orbiter_0,earth,1081350,1085910
orbiter_earth,orbiter_0,earth,1088430,1092990
orbiter_earth,orbiter_0,earth,1095510,1100070
orbiter_earth,orbiter_0,earth,1102590,1107150
orbiter_earth,orbiter_0,earth,1109670,1114230
orbiter_earth,orbiter_0,earth,1116750,1121310
orbiter_earth,orbiter_0,earth,1123830,1128390
orbiter_earth,orbiter_0,earth,1130910,1135470
orbiter_earth,orbiter_0,earth,1138020,1142550
orbiter_earth,orbiter_0,earth,1145100,1149630
orbiter_earth,orbiter_0,earth,1152180,1156740
orbiter_earth,orbiter_0,earth,1159260,1163820
orbiter_earth,orbiter_0,earth,1166340,1170900
orbiter_earth,orbiter_0,earth,1173420,1177980
orbiter_earth,orbiter_0,earth,1180500,1185060
orbiter_earth,orbiter_0,earth,1187580,1192140
orbiter_earth,orbiter_0,earth,1194660,1199220
orbiter_earth,orbiter_0,earth,1201740,1206300
orbiter_earth,orbiter_0,earth,1208820,1213380
orbiter_earth,orbiter_0,earth,1215900,1220460
orbiter_earth,orbiter_0,earth,1223010,1227540
orbiter_earth,orbiter_0,earth,1230090,1234620
orbiter_earth,orbiter_0,earth,1237170,1241730
orbiter_earth,orbiter_0,earth,1244250,1248810
orbiter_earth,orbiter_0,earth,1251330,1255890
orbiter_earth,orbiter_0,earth,1258410,1262970
orbiter_earth,orbiter_0,earth,1265490,1270050
orbiter_earth,orbiter_0,earth,1272570,1277130
orbiter_earth,orbiter_0,earth,1279650,1284210
orbiter_earth,orbiter_0,earth,1286730,1291290
orbiter_earth,orbiter_0,earth,1293810,1298370
orbiter_earth,orbiter_0,earth,1300890,1305450
orbiter_earth,orbiter_0,earth,1308000,1312530
orbiter_earth,orbiter_0,earth,1315080,1319610
orbiter_earth,orbiter_0,earth,1322160,1326720
orbiter_earth,orbiter_0,earth,1329240,1333800
orbiter_earth,orbiter_0,earth,1336320,1340880
orbiter_earth,orbiter_0,earth,1343400,1347960
orbiter_earth,orbiter_0,earth,1350480,1355040
orbiter_earth,orbiter_0,earth,1357560,1362120
orbiter_earth,orbiter_0,earth,1364640,1369200
orbiter_earth,orbiter_0,earth,1371720,1376280
orbiter_earth,orbiter_0,earth,1378800,1383360
orbiter_earth,orbiter_0,earth,1385880,1390440
orbiter_earth,orbiter_0,earth,1392990,1397520
orbiter_earth,orbiter_0,earth,1400070,1404600
orbiter_earth,orbiter_0,earth,1407150,1411710
orbiter_earth,orbiter_0,earth,1414230,1418790
orbiter_earth,orbiter_0,earth,1421310,1425870
orbiter_earth,orbiter_0,earth,1428390,1432950
orbiter_earth,orbiter_0,earth,1435470,1440030
orbiter_earth,orbiter_0,earth,1442550,1447110
orbiter_earth,orbiter_0,earth,1449630,1454190
orbiter_earth,orbiter_0,earth,1456710,1461270
orbiter_earth,orbiter_0,earth,1463790,1468350
orbiter_earth,orbiter_0,earth,1470870,1475430
orbiter_earth,orbiter_0,earth,1477980,1482510
orbiter_earth,orbiter_0,earth,1485060,1489590
orbiter_earth,orbiter_0,earth,1492140,1496700
orbiter_earth,orbiter_0,earth,1499220,1503780
orbiter_earth,orbiter_0,earth,1506300,1510860
orbiter_earth,orbiter_0,earth,1513380,1517940
orbiter_earth,orbiter_0,earth,1520460,1525020
orbiter_earth,orbiter_0,earth,1527540,1532100
orbiter_earth,orbiter_0,earth,1534620,1539180
orbiter_earth,orbiter_0,earth,1541700,1546260
orbiter_earth,orbiter_0,earth,1548780,1553340
orbiter_earth,orbiter_0,earth,1555860,1560420
orbiter_earth,orbiter_0,earth,1562970,1567500
orbiter_earth,orbiter_0,earth,1570050,1574580
orbiter_earth,orbiter_0,earth,1577130,1581690
orbiter_earth,orbiter_0,earth,1584210,1588770
orbiter_earth,orbiter_0,earth,1591290,1595850
orbiter_earth,orbiter_0,earth,1598370,1602930
orbiter_earth,orbiter_0,earth,1605450,1610010
orbiter_earth,orbiter_0,earth,1612530,1617090
orbiter_earth,orbiter_0,earth,1619610,1624170
orbiter_earth,orbiter_0,earth,1626690,1631250
orbiter_earth,orbiter_0,earth,1633770,1638330
orbiter_earth,orbiter_0,earth,1640850,1645410
orbiter_earth,orbiter_0,earth,1647960,1652490
orbiter_earth,orbiter_0,earth,1655040,1659570
orbiter_earth,orbiter_0,earth,1662120,1666680
orbiter_earth,orbiter_0,earth,1669200,1673760
orbiter_earth,orbiter_0,earth,1676280,1680840
orbiter_earth,orbiter_0,earth,1683360,1687920
orbiter_earth,orbiter_0,earth,1690440,1695000
orbiter_earth,orbiter_0,earth,1697520,1702080
orbiter_earth,orbiter_0,earth,1704600,1709160
orbiter_earth,orbiter_0,earth,1711680,1716240
orbiter_earth,orbiter_0,earth,1718760,1723320
orbiter_earth,orbiter_0,earth,1725840,1730400
orbiter_earth,orbiter_0,earth,1732950,1737480
orbiter_earth,orbiter_0,earth,1740030,1744560
orbiter_earth,orbiter_0,earth,1747110,1751670
orbiter_earth,orbiter_0,earth,1754190,1758750
orbiter_earth,orbiter_0,earth,1761270,1765830
orbiter_earth,orbiter_0,earth,1768350,1772910
orbiter_earth,orbiter_0,earth,1775430,1779990
orbiter_earth,orbiter_0,earth,1782510,1787070
orbiter_earth,orbiter_0,earth,1789590,1794150
orbiter_earth,orbiter_0,earth,1796670,1801230
orbiter_earth,orbiter_0,earth,1803750,1808310
orbiter_earth,orbiter_0,earth,1810830,1815390
orbiter_earth,orbiter_0,earth,1817940,1822470
orbiter_earth,orbiter_0,earth,1825020,1829550
orbiter_earth,orbiter_0,earth,1832100,1836660
orbiter_earth,orbiter_0,earth,1839180,1843740
orbiter_earth,orbiter_0,earth,1846260,1850820
orbiter_earth,orbiter_0,earth,1853340,1857900
orbiter_earth,orbiter_0,earth,1860420,1864980
orbiter_earth,orbiter_0,earth,1867500,1872060
orbiter_earth,orbiter_0,earth,1874580,1879140
orbiter_earth,orbiter_0,earth,1881660,1886220
orbiter_earth,orbiter_0,earth,1888740,1893300
orbiter_earth,orbiter_0,earth,1895820,1900380
orbiter_earth,orbiter_0,earth,1902930,1907460
orbiter_earth,orbiter_0,earth,1910010,1914540
orbiter_earth,orbiter_0,earth,1917090,1921650
orbiter_earth,orbiter_0,earth,1924170,1928730
orbiter_earth,orbiter_0,earth,1931250,1935810
orbiter_earth,orbiter_0,earth,1938330,1942890
orbiter_earth,orbiter_0,earth,1945410,1949970
orbiter_earth,orbiter_0,earth,1952490,1957050
orbiter_earth,orbiter_0,earth,1959570,1964130
orbiter_earth,orbiter_0,earth,1966650,1971210
orbiter_earth,orbiter_0,earth,1973730,1978290
orbiter_earth,orbiter_0,earth,1980810,1985370
orbiter_earth,orbiter_0,earth,1987920,1992450
orbiter_earth,orbiter_0,earth,1995000,1999530
orbiter_earth,orbiter_0,earth,2002080,2006640
orbiter_earth,orbiter_0,earth,2009160,2013720
orbiter_earth,orbiter_0,earth,2016240,2020800
orbiter_earth,orbiter_0,earth,2023320,2027880
orbiter_earth,orbiter_0,earth,2030400,2034960
orbiter_earth,orbiter_0,earth,2037480,2042040
orbiter_earth,orbiter_0,earth,2044560,2049120
orbiter_earth,orbiter_0,earth,2051640,2056200
orbiter_earth,orbiter_0,earth,2058720,2063280
orbiter_earth,orbiter_0,earth,2065800,2070360
orbiter_earth,orbiter_0,earth,2072910,2077440
orbiter_earth,orbiter_0,earth,2079990,2084550
orbiter_earth,orbiter_0,earth,2087070,2091630
orbiter_earth,orbiter_0,earth,2094150,2098710
orbiter_earth,orbiter_0,earth,2101230,2105790
orbiter_earth,orbiter_0,earth,2108310,2112870
orbiter_earth,orbiter_0,earth,2115390,2119950
orbiter_earth,orbiter_0,earth,2122470,2127030
orbiter_earth,orbiter_0,earth,2129550,2134110
orbiter_earth,orbiter_0,earth,2136630,2141190
orbiter_earth,orbiter_0,earth,2143710,2148270
orbiter_earth,orbiter_0,earth,2150790,2155350
orbiter_earth,orbiter_0,earth,2157900,2162430
orbiter_earth,orbiter_0,earth,2164980,2169540
orbiter_earth,orbiter_0,earth,2172060,2176620
orbiter_earth,orbiter_0,earth,2179140,2183700
orbiter_earth,orbiter_0,earth,2186220,2190780
orbiter_earth,orbiter_0,earth,2193300,2197860
orbiter_earth,orbiter_0,earth,2200380,2204940
orbiter_earth,orbiter_0,earth,2207460,2212020
orbiter_earth,orbiter_0,earth,2214540,2219100
orbiter_earth,orbiter_0,earth,2221620,2226180
orbiter_earth,orbiter_0,earth,2228700,2233260
orbiter_earth,orbiter_0,earth,2235780,2240340
orbiter_earth,orbiter_0,earth,2242890,2247420
orbiter_earth,orbiter_0,earth,2249970,2254530
orbiter_earth,orbiter_0,earth,2257050,2261610
orbiter_earth,orbiter_0,earth,2264130,2268690
orbiter_earth,orbiter_0,earth,2271210,2275770
orbiter_earth,orbiter_0,earth,2278290,2282850
orbiter_earth,orbiter_0,earth,2285370,2289930
orbiter_earth,orbiter_0,earth,2292450,2297010
orbiter_earth,orbiter_0,earth,2299530,2304090
orbiter_earth,orbiter_0,earth,2306610,2311170
orbiter_earth,orbiter_0,earth,2313690,2318250
orbiter_earth,orbiter_0,earth,2320770,2325330
orbiter_earth,orbiter_0,earth,2327880,2332410
orbiter_earth,orbiter_0,earth,2334960,2339520
orbiter_earth,orbiter_0,earth,2342040,2346600
orbiter_earth,orbiter_0,earth,2349120,2353680
orbiter_earth,orbiter_0,earth,2356200,2360760
orbiter_earth,orbiter_0,earth,2363280,2367840
orbiter_earth,orbiter_0,earth,2370360,2374920
orbiter_earth,orbiter_0,earth,2377440,2382000
orbiter_earth,orbiter_0,earth,2384520,2389080
orbiter_earth,orbiter_0,earth,2391600,2396160
orbiter_earth,orbiter_0,earth,2398680,2403240
orbiter_earth,orbiter_0,earth,2405760,2410320
orbiter_earth,orbiter_0,earth,2412870,2417400
orbiter_earth,orbiter_0,earth,2419950,2424510
orbiter_earth,orbiter_0,earth,2427030,2431590
orbiter_earth,orbiter_0,earth,2434110,2438670
orbiter_earth,orbiter_0,earth,2441190,2445750
orbiter_earth,orbiter_0,earth,2448270,2452830
orbiter_earth,orbiter_0,earth,2455350,2459910
orbiter_earth,orbiter_0,earth,2462430,2466990
orbiter_earth,orbiter_0,earth,2469510,2474070
orbiter_earth,orbiter_0,earth,2476590,2481150
orbiter_earth,orbiter_0,earth,2483670,2488230
orbiter_earth,orbiter_0,earth,2490750,2495310
orbiter_earth,orbiter_0,earth,2497860,2502390
orbiter_earth,orbiter_0,earth,2504940,2509500
orbiter_earth,orbiter_0,earth,2512020,2516580
orbiter_earth,orbiter_0,earth,2519100,2523660
orbiter_earth,orbiter_0,earth,2526180,2530740
orbiter_earth,orbiter_0,earth,2533260,2537820
orbiter_earth,orbiter_0,earth,2540340,2544900
orbiter_earth,orbiter_0,earth,2547420,2551980
orbiter_earth,orbiter_0,earth,2554500,2559060
orbiter_earth,orbiter_0,earth,2561580,2566140
orbiter_earth,orbiter_0,earth,2568660,2573220
orbiter_earth,orbiter_0,earth,2575740,2580300
orbiter_earth,orbiter_0,earth,2582850,2587380
orbiter_earth,orbiter_0,earth,2589930,2592000
orbiter_earth,orbiter_1,earth,0,1560
orbiter_earth,orbiter_1,earth,4110,8640
orbiter_earth,orbiter_1,earth,11190,15720
orbiter_earth,orbiter_1,earth,18270,22830
orbiter_earth,orbiter_1,earth,25350,29910
orbiter_earth,orbiter_1,earth,32430,36990
orbiter_earth,orbiter_1,earth,39510,44070
orbiter_earth,orbiter_1,earth,46590,51150
orbiter_earth,orbiter_1,earth,53670,58230
orbiter_earth,orbiter_1,earth,60750,65310
orbiter_earth,orbiter_1,earth,67830,72390
orbiter_earth,orbiter_1,earth,74910,79470
orbiter_earth,orbiter_1,earth,81990,86550
orbiter_earth,orbiter_1,earth,89100,93630
orbiter_earth,orbiter_1,earth,96180,100740
orbiter_earth,orbiter_1,earth,103260,107820
orbiter_earth,orbiter_1,earth,110340,114900
orbiter_earth,orbiter_1,earth,117420,121980
orbiter_earth,orbiter_1,earth,124500,129060
orbiter_earth,orbiter_1,earth,131580,136140
orbiter_earth,orbiter_1,earth,138660,143220
orbiter_earth,orbiter_1,earth,145740,150300
orbiter_earth,orbiter_1,earth,152820,157380
orbiter_earth,orbiter_1,earth,159900,164460
orbiter_earth,orbiter_1,earth,166980,171540
orbiter_earth,orbiter_1,earth,174090,178620
orbiter_earth,orbiter_1,earth,181170,185730
orbiter_earth,orbiter_1,earth,188250,192810
orbiter_earth,orbiter_1,earth,195330,199890
orbiter_earth,orbiter_1,earth,202410,206970
orbiter_earth,orbiter_1,earth,209490,214050
orbiter_earth,orbiter_1,earth,216570,221130
orbiter_earth,orbiter_1,earth,223650,228210
orbiter_earth,orbiter_1,earth,230730,235290
orbiter_earth,orbiter_1,earth,237810,242370
orbiter_earth,orbiter_1,earth,244890,249450
orbiter_earth,orbiter_1,earth,251970,256530
orbiter_earth,orbiter_1,earth,259080,263610
orbiter_earth,orbiter_1,earth,266160,270720
orbiter_earth,orbiter_1,earth,273240,277800
orbiter_earth,orbiter_1,earth,280320,284880
orbiter_earth,orbiter_1,earth,287400,291960
orbiter_earth,orbiter_1,earth,294480,299040
orbiter_earth,orbiter_1,earth,301560,306120
